#Sent triggers per gain and bias: 50000	and with a frequency [Hz] of: 100000
#Gain	bias	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
2	16	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	16	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	15	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	15	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	15	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	14	G	100000	49998	0.00399947	0.002	2	2	0	0	0	2	0	0	4
2	14	A	100000	49998	0.00399947	0.002	2	1	0	0	0	1	0	0	2
2	14	B	100000	49998	0.00399947	0.002	2	1	0	0	0	1	0	0	2
2	13	G	100000	40376	19.248	9.056	9624	6980	0	0	0	6979	0	1	6982
2	13	A	100000	42282	15.436	8.412	7718	3512	0	0	0	3511	0	1	3513
2	13	B	100000	41682	16.636	9.7	8318	3468	0	0	0	3468	0	0	3469
2	12	G	100000	1	99.998	99.984	49999	14	0	0	0	2	0	12	2
2	12	A	100000	1	99.998	99.984	49999	7	0	0	0	1	0	6	1
2	12	B	100000	1	99.998	99.984	49999	7	0	0	0	1	0	6	1
2	11	G	100000	0	100	99.788	50000	209	0	0	0	0	0	209	3
2	11	A	100000	0	100	99.996	50000	2	0	0	0	0	0	2	0
2	11	B	100000	3	99.994	99.58	49997	207	0	0	0	0	0	207	3
2	11	cSpy was 4 spamed and the readout avoided!
1	40	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	40	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	40	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	39	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	39	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	39	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	38	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	38	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	38	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	37	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	37	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	37	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	36	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	36	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	36	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	35	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	35	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	35	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	34	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	34	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	34	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	33	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	33	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	33	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	32	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	32	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	32	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	31	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	31	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	31	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	30	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	30	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	30	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	29	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	29	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	29	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	28	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	28	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	28	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	27	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	27	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	27	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	26	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	26	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	26	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	25	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	25	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	25	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	24	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	24	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	24	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	23	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	23	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	23	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	22	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	22	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	22	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	21	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	21	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	21	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	20	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	20	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	20	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	19	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	19	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	19	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	18	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	18	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	18	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	17	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	17	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	17	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	16	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	16	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	16	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	15	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
1	15	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	15	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
1	14	G	100000	49982	0.0360012	0.018	18	18	0	0	0	18	0	0	20
1	14	A	100000	49982	0.0360012	0.018	18	9	0	0	0	9	0	0	10
1	14	B	100000	49982	0.0360012	0.018	18	9	0	0	0	9	0	0	10
1	13	G	100000	12433	75.134	54.093	37567	14471	17	0	0	14417	24	13	14460
1	13	A	100000	16090	67.82	53.02	33910	7400	8	0	0	7377	10	5	7394
1	13	B	100000	15346	69.308	55.166	34654	7071	9	0	0	7040	14	8	7066
1	12	G	100000	0	100	99.994	50000	6	0	0	0	0	0	6	0
1	12	A	100000	0	100	99.994	50000	3	0	0	0	0	0	3	0
1	12	B	100000	0	100	99.994	50000	3	0	0	0	0	0	3	0
1	12	cSpy was 2 spamed and the readout avoided!
1	11	G	100000	17	99.966	98.609	49983	769	84	0	0	293	228	164	622
1	11	A	100000	49	99.902	99.774	49951	64	0	0	0	14	22	28	49
1	11	B	100000	573	98.854	97.444	49427	705	84	0	0	279	206	136	573
1	11	cSpy was 78 spamed and the readout avoided!
0	40	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	40	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	40	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	39	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	39	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	39	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	38	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	38	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	38	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	37	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	37	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	37	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	36	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	36	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	36	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	35	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	35	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	35	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	34	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	34	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	34	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	33	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
