#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 186a0	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
6	7	A	40000	370	99.63	98.608	99630	1022	5	0	0	143	3	871	368
6	7	B	40000	19769	80.231	63.705	80231	16526	25	0	0	14660	1839	2	16517
6	7	cSpy was 2 spamed and the readout avoided!
7	0	G	40000	645	99.355	60.019	99355	21153	68	0	0	19526	1148	411	20816
7	0	A	40000	970	99.03	97.73	99030	1300	68	0	0	815	8	409	963
7	0	B	40000	57839	42.161	22.308	42161	19853	0	0	0	18711	1140	2	19853
7	0	cSpy was 6 spamed and the readout avoided!
7	1	G	40000	338	99.662	97.8345	99662	2364	110	0	0	1591	197	466	1955
7	1	A	40000	730	99.27	98.162	99270	1108	76	0	0	553	32	447	728
7	1	B	40000	1237	98.763	97.507	98763	1256	34	0	0	1038	165	19	1227
7	1	cSpy was 7 spamed and the readout avoided!
7	2	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
7	2	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
7	2	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
7	3	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
7	3	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
7	3	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
7	4	G	40000	94155	5.845	1.3625	5845	8694	0	0	0	8629	58	7	8695
7	4	A	40000	94262	5.738	1.396	5738	4342	0	0	0	4335	0	7	4342
7	4	B	40000	94319	5.681	1.329	5681	4352	0	0	0	4294	58	0	4353
7	5	G	40000	91	99.909	99.1445	99909	1013	9	0	0	210	371	423	697
7	5	A	40000	189	99.811	99.344	99811	467	8	0	0	61	32	366	189
7	5	B	40000	509	99.491	98.945	99491	546	1	0	0	149	339	57	508
7	5	cSpy was 5 spamed and the readout avoided!
7	6	G	40000	62468	37.532	31.82	37532	10744	11	3	0	10473	110	147	10661
7	6	A	40000	62732	37.268	31.873	37268	5395	8	1	0	5224	19	143	5316
7	6	B	40000	62884	37.116	31.767	37116	5349	3	2	0	5249	91	4	5345
7	6	cSpy was 2 spamed and the readout avoided!
7	7	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
7	7	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
7	7	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
