#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 10000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
6	1	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
6	2	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
6	2	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
6	2	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
6	3	G	40000	161	98.39	91.87	9839	807	23	0	0	755	20	9	792
6	3	A	40000	475	95.25	90.55	9525	470	12	0	0	436	17	5	461
6	3	B	40000	344	96.56	93.19	9656	337	11	0	0	319	3	4	331
6	3	cSpy was 4 spamed and the readout avoided!
6	4	G	40000	52	99.48	96.735	9948	352	37	5	1	113	144	52	299
6	4	A	40000	193	98.07	95.92	9807	215	23	1	1	66	112	12	192
6	4	B	40000	108	98.92	97.55	9892	137	14	4	0	47	32	40	107
6	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
6	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
6	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
6	6	G	40000	9944	0.559998	0.135	56	29	0	0	0	29	0	0	31
6	6	A	40000	9944	0.559998	0.27	56	29	0	0	0	29	0	0	30
6	6	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
6	7	G	40000	9703	2.97	0.015	297	585	0	0	0	585	0	0	587
6	7	A	40000	9705	2.95	0.02	295	293	0	0	0	293	0	0	294
6	7	B	40000	9707	2.93	0.01	293	292	0	0	0	292	0	0	293
7	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
7	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
7	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
7	1	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
7	1	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
7	1	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
7	2	G	40000	9993	0.0699997	0	7	14	0	0	0	14	0	0	16
7	2	A	40000	9993	0.0699997	0	7	7	0	0	0	7	0	0	8
7	2	B	40000	9993	0.0699997	0	7	7	0	0	0	7	0	0	8
7	3	G	40000	3	99.97	99.33	9997	71	1	0	0	39	15	16	63
7	3	A	40000	10	99.9	99.8	9990	10	0	0	0	4	6	0	10
7	3	B	40000	53	99.47	98.86	9947	61	1	0	0	35	9	16	53
7	3	cSpy was 7 spamed and the readout avoided!
7	4	G	40000	4197	58.03	32.575	5803	4668	8	0	0	4261	399	0	4662
7	4	A	40000	4406	55.94	32.66	5594	2328	4	0	0	2124	200	0	2325
7	4	B	40000	4411	55.89	32.49	5589	2340	4	0	0	2137	199	0	2337
7	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
7	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
7	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
7	6	G	40000	5819	41.81	20.525	4181	2330	0	0	0	2309	21	0	2331
7	6	A	40000	6531	34.69	22.96	3469	1173	0	0	0	1166	7	0	1173
7	6	B	40000	7034	29.66	18.09	2966	1157	0	0	0	1143	14	0	1158
7	7	G	40000	4	99.96	99.11	9996	124	3	0	0	21	17	83	54
7	7	A	40000	27	99.73	99.06	9973	67	0	0	0	12	7	48	27
7	7	B	40000	27	99.73	99.16	9973	57	3	0	0	9	10	35	27
7	7	cSpy was 24 spamed and the readout avoided!
